영업납기,중산도면,단가,수량,선급
2021-05-13,K04033,25870,318,검사품
2021-05-24,K04031,16229,383,검사품
2021-05-30,51718,8333,19,
2021-06-03,56984,36533,4,
2021-06-18,57791,45500,196,검사품
2021-06-18,K03948,57641,85,검사품
2021-02-10,S00341,2990,500,
2021-02-18,52996,20000,2,
2021-03-10,S00341,2990,500,
2021-04-10,S00341,2990,500,
2021-05-10,S00341,2990,398,
2021-05-13,66157,18500,208,검사품
2021-05-30,K04101,15640,15,
2021-05-30,52996,20000,2,
2021-05-31,S00271,4000,150,
2021-06-01,57386,22750,144,DNVGL/W
2021-06-01,64421,366680,2,
2021-06-02,62138,18563,20,
2021-06-02,56984,14835,4,
2021-06-03,57791,42810,216,검사품
2021-06-04,69559,242250,28,검사품
2021-06-05,58039,23740,64,
2021-06-05,61088,11500,48,
2021-06-09,59046,7752,5,
2021-06-09,K04033,25870,318,검사품
2021-06-10,S00033,5050,178,
2021-06-10,64056,8134,24,
2021-06-10,69769,64130,42,
2021-06-10,69770,64130,42,
2021-06-11,K04003,17794,40,BV/W
2021-06-11,K04005,24418,40,BV/W
2021-06-14,S00034,3452,188,
2021-06-15,K03115,26719,30,
2021-06-15,63342,24360,72,
2021-06-15,K03115,26719,28,
2021-06-15,63414,20475,72,
2021-06-15,62872,86940,20,
2021-06-15,59083,8226,24,
2021-06-15,Z00807,10450,300,
2021-06-17,K01682,53798,5,LR
2021-06-17,53695,33984,6,
2021-06-17,K01937,72993,6,
2021-06-17,60711,29900,24,
2021-06-17,K03961,19300,2,검사품
2021-06-18,Z01343,16231,8,
2021-06-18,57386,24418,200,BV/W
2021-06-18,63865,20054,47,
2021-06-21,62716,27590,120,검사품
2021-06-21,62953,23500,160,검사품
2021-06-22,61864,37650,42,
2021-06-22,S00371,32450,56,
2021-06-22,K05273,9546,16,
2021-06-22,K01618,17050,8,
2021-06-23,K01866,25840,25,
2021-06-23,S00036,4845,138,
2021-06-23,S00045,6295,52,
2021-06-23,61102,12500,240,검사품
2021-06-24,Z00140,13960,400,검사품
2021-06-25,69400,7600,70,
2021-06-25,66038,42940,20,
2021-06-26,66074,8835,44,
2021-06-26,69494,27039,40,
2021-06-28,69559,242250,32,검사품
2021-06-28,K00563,95000,16,
2021-06-28,K00562,7500,16,
2021-06-29,61609,11900,33,
2021-06-29,58045,246800,64,
2021-06-29,67921,39200,12,
2021-06-29,57791,40973,200,검사품
2021-06-30,63473,26140,72,
2021-06-30,67820,23362,716,검사품
2021-06-30,62953,23500,194,검사품
2021-06-30,K03894,60000,66,ABS-W
2021-06-30,65848,44732,18,
2021-06-30,62732,32000,2,
2021-06-30,57387,21160,400,
2021-06-30,57386,28520,400,
2021-07-01,56587,12740,20,
2021-07-01,57045,21260,10,
2021-07-01,57387,16100,144,ABS/W
2021-07-01,K04046,9416,370,검사품
2021-07-01,57386,22750,144,ABS/W
2021-07-02,69159,481190,52,AB/W 
2021-07-02,66736,11500,42,
2021-07-02,69196,10220,80,
2021-07-02,57791,40973,204,검사품
2021-07-02,68898,9170,128,
2021-07-05,67447,8000,66,
2021-07-05,66496,266000,5,
2021-07-05,66796,11000,240,
2021-07-05,64192,17684,20,
2021-07-06,59988,166250,24,검사품
2021-07-06,K03899,22005,396,검사품
2021-07-07,K03894,60000,46,DNGL-W
2021-07-08,69559,242250,15,검사품
2021-07-09,57386,24418,84,LR/W
2021-07-09,57387,17794,84,LR/W
2021-07-09,57386,24418,116,BV/W
2021-07-09,57387,17794,116,BV/W
2021-07-09,57791,40973,208,검사품
2021-07-10,S00033,5303,210,
2021-07-10,67667,21360,44,
2021-07-10,68678,11602,8,
2021-07-12,65961,12400,48,
2021-07-12,56264,13030,48,
2021-07-12,70230,17436,90,
2021-07-12,69159,481190,52,AB/W 
2021-07-12,63082,17836,40,
2021-07-13,69163,31160,28,AB/W 
2021-07-13,62432,44803,4,
2021-07-14,59991,36575,48,
2021-07-14,61606,14448,72,검사품
2021-07-15,62330,13099,40,
2021-07-15,K04037,7810,430,검사품
2021-07-15,Z00807,10450,300,
2021-07-16,64757,20343,8,
2021-07-16,62185,47900,12,
2021-07-16,69478,19200,24,
2021-07-21,61218,35100,20,
2021-07-23,58797,34000,24,DG/W
2021-07-26,58797,34000,24,ABS/W
2021-07-26,K03887,20957,40,검사품
2021-08-15,Z00807,10450,300,
2021-08-18,69559,242250,28,검사품
2021-08-19,K00614,6750,12,
2021-08-31,K04037,7810,400,검사품
2021-09-15,Z00807,10450,325,
